file,phase,rl_episode,total_steps
step_00000000.pt,untrained,0,0
step_00056026.pt,imitation,0,56026
step_00056684.pt,reinforcement,25,56684
step_00058782.pt,reinforcement,100,58782
step_00061546.pt,reinforcement,225,61546
step_00065831.pt,reinforcement,400,65831
step_00071750.pt,reinforcement,625,71750
step_00078680.pt,reinforcement,900,78680
step_00086978.pt,reinforcement,1225,86978
step_00095718.pt,reinforcement,1600,95718
step_00106271.pt,reinforcement,2025,106271
step_00117627.pt,reinforcement,2500,117627
step_00131127.pt,reinforcement,3025,131127
step_00145136.pt,reinforcement,3600,145136
step_00159773.pt,reinforcement,4225,159773
step_00175492.pt,reinforcement,4900,175492
step_00192527.pt,reinforcement,5625,192527
step_00210347.pt,reinforcement,6400,210347
step_00228939.pt,reinforcement,7225,228939
step_00249041.pt,reinforcement,8100,249041
step_00270313.pt,reinforcement,9025,270313
step_00292751.pt,reinforcement,10000,292751
