episode,phase,total_steps,outcome,length,discounted_return
0,il,20,collision,20,-0.1516
1,il,33,collision,13,-0.1823
2,il,36,collision,3,-0.261
3,il,51,too_close,15,0.6526
4,il,64,collision,13,-0.1962
5,il,69,success,5,0.9
6,il,77,success,8,0.8316
7,il,103,collision,26,-0.138
8,il,115,too_close,12,0.7223
9,il,130,collision,15,-0.2056
10,il,147,success,17,0.6561
11,il,162,success,15,0.6916
12,il,166,success,4,0.924
13,il,169,collision,3,-0.2604
14,il,191,too_close,22,0.567
15,il,213,collision,22,-0.171
16,il,232,too_close,19,0.583
17,il,246,collision,14,-0.1856
18,il,268,success,22,0.5751
19,il,277,success,9,0.81
20,il,295,collision,18,-0.163
21,il,320,success,25,0.5314
22,il,327,success,7,0.8538
23,il,342,too_close,15,0.6808
24,il,350,success,8,0.8316
25,il,356,success,6,0.8766
26,il,368,success,12,0.7485
27,il,378,collision,10,-0.2327
28,il,423,collision,45,-0.0963
29,il,437,success,14,0.71
30,il,467,success,30,0.4659
31,il,490,success,23,0.5602
32,il,529,too_close,39,0.3675
33,il,567,too_close,38,0.3623
34,il,587,success,20,0.6063
35,il,612,collision,25,-0.1394
36,il,630,success,18,0.639
37,il,650,too_close,20,0.6045
38,il,662,collision,12,-0.2032
39,il,669,success,7,0.8538
40,il,704,success,35,0.4084
41,il,749,too_close,45,0.3138
42,il,759,too_close,10,0.7889
43,il,788,too_close,29,0.4783
44,il,791,collision,3,-0.2408
45,il,810,too_close,19,0.6141
46,il,881,too_close,71,0.1541
47,il,902,success,21,0.5905
48,il,925,collision,23,-0.165
49,il,945,collision,20,-0.1673
50,il,952,success,7,0.8538
51,il,963,collision,11,-0.2027
52,il,980,success,17,0.6561
53,il,987,success,7,0.8538
54,il,1018,collision,31,-0.1329
55,il,1041,too_close,23,0.5458
56,il,1069,success,28,0.4911
57,il,1073,collision,4,-0.231
58,il,1075,collision,2,-0.2633
59,il,1119,success,44,0.3222
60,il,1141,success,22,0.5751
61,il,1147,collision,6,-0.2675
62,il,1160,collision,13,-0.1823
63,il,1170,collision,10,-0.2122
64,il,1180,collision,10,-0.2096
65,il,1202,too_close,22,0.5751
66,il,1216,collision,14,-0.192
67,il,1242,collision,26,-0.1294
68,il,1257,success,15,0.6916
69,il,1285,success,28,0.4911
70,il,1286,collision,1,-0.25
71,il,1319,too_close,33,0.4161
72,il,1347,success,28,0.4911
73,il,1390,too_close,43,0.3259
74,il,1396,success,6,0.8766
75,il,1425,success,29,0.4783
76,il,1447,success,22,0.5751
77,il,1472,collision,25,-0.1728
78,il,1493,success,21,0.5905
79,il,1515,success,22,0.5751
80,il,1549,collision,34,-0.1134
81,il,1554,success,5,0.9
82,il,1573,collision,19,-0.1586
83,il,1579,success,6,0.8766
84,il,1590,collision,11,-0.1921
85,il,1616,too_close,26,0.515
86,il,1637,too_close,21,0.571
87,il,1657,too_close,20,0.6063
88,il,1687,too_close,30,0.4659
89,il,1706,success,19,0.6224
90,il,1716,success,10,0.7889
91,il,1724,too_close,8,0.8311
92,il,1735,collision,11,-0.1927
93,il,1746,success,11,0.7684
94,il,1775,collision,29,-0.132
95,il,1788,collision,13,-0.1823
96,il,1801,success,13,0.729
97,il,1816,success,15,0.6916
98,il,1835,success,19,0.6224
99,il,1853,too_close,18,0.639
100,il,1890,collision,37,-0.1323
101,il,1941,collision,51,-0.075
102,il,1949,collision,8,-0.2292
103,il,1964,collision,15,-0.2899
104,il,1988,success,24,0.5456
105,il,2001,collision,13,-0.1845
106,il,2016,success,15,0.6916
107,il,2048,success,32,0.442
108,il,2064,collision,16,-0.1755
109,il,2082,collision,18,-0.2142
110,il,2088,collision,6,-0.2216
111,il,2109,success,21,0.5905
112,il,2132,too_close,23,0.548
113,il,2167,too_close,35,0.3761
114,il,2190,too_close,23,0.5173
115,il,2227,too_close,37,0.362
116,il,2249,too_close,22,0.5598
117,il,2252,collision,3,-0.246
118,il,2265,collision,13,-0.1823
119,il,2283,success,18,0.639
120,il,2288,collision,5,-0.2456
121,il,2298,too_close,10,0.7889
