training_steps,success,too_close,collision,timeout,mean_return,mean_intrusions,mean_steps,episodes
0,0.0,0.0,0.625,0.375,-0.164,7.425,69.725,40
56026,0.25,0.3,0.45,0.0,0.428,2.975,29.8,40
56684,0.15,0.525,0.325,0.0,0.583,3.65,32.75,40
58782,0.2,0.4,0.4,0.0,0.49,3.375,30.95,40
61546,0.2,0.425,0.375,0.0,0.519,3.45,31.475,40
65831,0.15,0.5,0.35,0.0,0.515,4.525,31.925,40
71750,0.1,0.425,0.475,0.0,0.39,4.0,27.175,40
78680,0.1,0.475,0.425,0.0,0.462,3.95,27.325,40
86978,0.125,0.55,0.325,0.0,0.581,4.6,35.175,40
95718,0.2,0.5,0.3,0.0,0.611,4.025,32.375,40
106271,0.175,0.6,0.225,0.0,0.705,4.8,34.6,40
117627,0.125,0.725,0.15,0.0,0.794,5.625,34.6,40
131127,0.25,0.65,0.1,0.0,0.845,6.45,38.175,40
145136,0.15,0.75,0.1,0.0,0.855,5.55,37.225,40
159773,0.175,0.775,0.05,0.0,0.916,5.625,36.2,40
175492,0.2,0.7,0.1,0.0,0.852,6.125,34.575,40
192527,0.175,0.7,0.125,0.0,0.817,6.1,33.325,40
210347,0.25,0.675,0.075,0.0,0.882,6.775,34.775,40
228939,0.225,0.65,0.125,0.0,0.824,6.125,33.375,40
249041,0.175,0.7,0.125,0.0,0.819,6.4,34.65,40
270313,0.2,0.675,0.125,0.0,0.825,6.1,35.025,40
292751,0.175,0.8,0.025,0.0,0.946,8.25,37.775,40
